city,country
阿布扎比,阿联酋
都柏林,爱尔兰
维也纳,奥地利
阿德莱德,澳大利亚
布里斯班,澳大利亚
堪培拉,澳大利亚
墨尔本,澳大利亚
珀斯,澳大利亚
悉尼,澳大利亚
根特,比利时
鲁汶,比利时
哥本哈根,丹麦
柏林,德国
波恩,德国
海德堡,德国
海尔布隆,德国
卡尔斯鲁厄,德国
慕尼黑,德国
图宾根,德国
亚琛,德国
巴黎,法国
兰斯,法国
勒阿弗尔,法国
芒通,法国
阿姆斯特丹,荷兰
代尔夫特,荷兰
格罗宁根,荷兰
莱顿,荷兰
鹿特丹,荷兰
瓦赫宁根,荷兰
乌得勒支,荷兰
温哥华,加拿大
伯克利,美国
奥斯陆,挪威
隆德,瑞典
斯德哥尔摩,瑞典
乌普萨拉,瑞典
洛桑,瑞士
苏黎世,瑞士
巴塞罗那,西班牙
新加坡,新加坡
奥克兰,新西兰
米兰,意大利
剑桥,英国
伦敦,英国
北京,中国
香港,中国香港
